row_idx,text,pred_label,max_prob,prob_threshold,dist_to_pred_centroid,class_distance_threshold,is_unknown,final_label,reject_reason,label,hard_negative_source
14,METHOD=GET PATH=/tienda1/publico/registro.jsp QUERY=modo=registro&login=minthorn&password=ahorquillado&nombre=Isra%E9l&apellidos=Luna+Barberan&email=pouyet%40mcrspain.mh&dni=83073375C&direccion=Calle+Pamplona%2C+26+&ciudad=Arrankudiaga&cp=49740&provincia=Huesca&ntc=2656905158370014&B1=Registrar PROTOCOL=HTTP/1.1,command_exec,0.7680802941322327,0.75,2.200872898101806,3.3952403348684306,0,command_exec,accepted,benign,command_exec
26,METHOD=GET PATH=/tienda1/miembros/editar.jsp QUERY=modo=registro&login=nataraja&password=d4upa&nombre=Zoraida&apellidos=Heras+Del+Moral&email=lowry-carmine%40filtraciondehumos.nc&dni=69549902H&direccion=C%2F+Albercuix%2C+27%2C+&ciudad=%C1greda&cp=50369&provincia=Ourense&ntc=0017018534732457&B1=Registrar PROTOCOL=HTTP/1.1,command_exec,0.7511286735534668,0.75,2.508613348007202,3.3952403348684306,0,command_exec,accepted,benign,command_exec
62,METHOD=GET PATH=/tienda1/miembros/editar.jsp QUERY=modo=registro&login=ye-sho&password=suscripta&nombre=Hans&apellidos=Steinle+Funk&email=maxey%40karldeux.cg&dni=12345246L&direccion=Guatemala%2C+123%2C+5-H&ciudad=Caraba%F1a&cp=46139&provincia=Barcelona&ntc=0198594046375467&B1=Registrar PROTOCOL=HTTP/1.1,command_exec,0.7649659514427185,0.75,2.530768871307373,3.3952403348684306,0,command_exec,accepted,benign,command_exec
98,METHOD=GET PATH=/tienda1/miembros/editar.jsp QUERY=modo=registro&login=kuswara&password=potajier&nombre=Lucero&apellidos=Sole+Mancisidor&email=calten%40maletti.km&dni=80391645K&direccion=Calle+Argamasilla+111%2C+&ciudad=Rabanera+del+Pinar&cp=19392&provincia=Burgos&ntc=0845804646085451&B1=Registrar PROTOCOL=HTTP/1.1,command_exec,0.7539146542549133,0.75,2.8002617359161377,3.3952403348684306,0,command_exec,accepted,benign,command_exec
278,METHOD=GET PATH=/tienda1/miembros/editar.jsp QUERY=modo=registro&login=mcadam&password=circunstante&nombre=Daner&apellidos=Perarnau+Casas&email=barrat%40dub%E1i.gf&dni=02729251W&direccion=C%2F+Hermanos+Pinzon%2C+55%2C+1%3FB&ciudad=Almad%E9n&cp=05693&provincia=Zaragoza&ntc=3103622583877016&B1=Registrar PROTOCOL=HTTP/1.1,command_exec,0.762618899345398,0.75,2.71268367767334,3.3952403348684306,0,command_exec,accepted,benign,command_exec
314,METHOD=GET PATH=/tienda1/miembros/editar.jsp QUERY=modo=registro&login=soroker&password=di7377dor&nombre=Sadia&apellidos=Kisines+Selvas&email=unger-waldridge%40nuestrasantacruz.dd&dni=87425645T&direccion=Plza.+Maestro+191%2C+&ciudad=Fuentearmegil&cp=45180&provincia=Barcelona&ntc=2717952590420573&B1=Registrar PROTOCOL=HTTP/1.1,command_exec,0.7599264979362488,0.75,2.705904960632324,3.3952403348684306,0,command_exec,accepted,benign,command_exec
494,METHOD=GET PATH=/tienda1/miembros/editar.jsp QUERY=modo=registro&login=bergeron&password=cHIClANerA&nombre=Leberato&apellidos=Laguia&email=brem%40yes123.mz&dni=31612716K&direccion=Cofa+136%2C+&ciudad=Paradinas+de+San+Juan&cp=42126&provincia=Girona&ntc=4253253341921904&B1=Registrar PROTOCOL=HTTP/1.1,command_exec,0.7660081386566162,0.75,2.444186925888061,3.3952403348684306,0,command_exec,accepted,benign,command_exec
602,METHOD=GET PATH=/tienda1/miembros/editar.jsp QUERY=modo=registro&login=khue&password=ENCostRar&nombre=Renzo&apellidos=Yevenes+Alapont&email=pelling%40cup-id.mz&dni=48773946P&direccion=Andikoetxe+150+&ciudad=Molezuelas+de+la+Carballeda&cp=40389&provincia=Soria&ntc=0138591223810471&B1=Registrar PROTOCOL=HTTP/1.1,command_exec,0.7794861197471619,0.75,2.3642821311950684,3.3952403348684306,0,command_exec,accepted,benign,command_exec
710,METHOD=GET PATH=/tienda1/miembros/editar.jsp QUERY=modo=registro&login=kieunga&password=terminista&nombre=Nery&apellidos=Agulla+Estupi%F1a&email=leina%40elrincondelmarmol.yu&dni=90572791X&direccion=Marques+De+Mochales%2C+19+&ciudad=Peromingo&cp=40492&provincia=Ja%E9n&ntc=7959619280022009&B1=Registrar PROTOCOL=HTTP/1.1,command_exec,0.7861716747283936,0.75,2.832799196243286,3.3952403348684306,0,command_exec,accepted,benign,command_exec
746,METHOD=GET PATH=/tienda1/miembros/editar.jsp QUERY=modo=registro&login=adela&password=eNvasAdor&nombre=Belino&apellidos=Mayans&email=jennifer%40intelethernet.cz&dni=85492231N&direccion=Glorieta+De+Julio+Robles%2C+47%2C+&ciudad=Ojacastro&cp=46729&provincia=Palencia&ntc=7701825811955975&B1=Registrar PROTOCOL=HTTP/1.1,command_exec,0.7651287913322449,0.75,2.503713130950928,3.3952403348684306,0,command_exec,accepted,benign,command_exec
